"LIPID","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"Hexadecatetraenoic acid",-0.05187416,0.09778786,-0.04043579,-0.002803803,-0.09518242,0.15646744,NA,0.09242821,0.41767693,-0.08913994,0.37979698,0.2747898,-0.013742447,0.13733864,-20.271406,0.8179989,-20.551405,0.6437702,0,NA,-0.11573601,0.41308975,0.1359539
"L-palmitoylcarnitine",0.43674088,-20.717844,-0.11707497,0,-20.642406,0.057024002,0.023597717,-0.5112362,-0.9962883,0.5027447,-0.03325081,NA,0.5917797,0.59409714,0.118745804,0.45491028,0.81985855,NA,0.6767216,-20.34897,-20.772501,1.358717,-21.078878
"Linoleic acid",-0.20396042,-0.58875465,-0.6515198,-1.0765572,-1.0441093,-0.8882427,0,0.11980438,NA,0.34143448,0.0766716,0.22327042,0.031593323,0.05773163,0.49795341,0.30857468,-0.043224335,0.8092365,-0.3795147,1.2500381,-0.06211281,0.5932045,-0.2740097
"Nonadecanoic acid",NA,-0.011096954,NA,0.16221428,-0.063735009,-0.101009367,0.34716034,-0.1079216,0.259773255,0.077991488,0.2472353,NA,NA,0.38791275,-9.72976598,-9.0486623,-9.8599722,-9.19163152,-0.110887525,0.07703781,-0.31217003,NA,NA
"Nonadecatetraenoic acid",-0.1511879,-0.32848167,-0.10249519,-0.08836174,NA,0.15093422,0,0.02639389,0.31103516,-0.24562263,0.10300827,0.32852554,NA,0.34624863,0.35608864,NA,0.183815,0.39743805,NA,-0.11274147,-0.22697449,NA,-0.03583336
"Nonadecenoic acid",0.22719574,-0.4317894,0.4151516,0.06587982,0.10804176,-0.10970116,-0.28773117,1.3101845,0.80392265,NA,0.45606804,0.6316204,0.2599678,-0.07938385,0,0.37709236,-0.5148754,NA,-0.124111176,-16.013819,0.72825813,-17.372355,-0.3792019
"Octadecenoic acid",-1.04414655,-0.153157235,0.087693215,-0.05205059,-0.81773855,0.110479355,-0.088794705,-0.527870185,11.87080172,-0.628158565,11.46993168,11.701806115,NA,0.1965570385,0.032359125,NA,-0.00330448,0.320810315,-0.401815415,0.7218122665,-0.686816215,-0.33716583,NA
"Palmitolinoleic acid",0.1089754,0.021969795,0.0826494999999987,0.10614776,0.05447007,0.222284499999999,0.056300165,-0.1261692035,-0.14121914,NA,-0.209884645,0.0066041945,0.21551132,0.4743765,0.44782257,0.897917,-0.0906805000000013,0.950941065,-0.22274399,1.3082905,-0.266755102,0.58866785,NA
"PC(19:2)",0.103450775,0.9135189,0,0.1653347,0.46086884,0.5594692,-0.04989052,0.25383568,-19.766836,0.65379715,-19.45244,1.7220612,-20.10406,-19.982485,-19.999662,-19.302902,NA,-19.047619,-19.131697,-19.24699,0.2538395,-18.41882,0.75598145
"PC(21:4)",0,NA,NA,0.06232071,-0.046564102,0.28842354,-0.7498474,-0.29802895,-0.22445488,0.25691223,NA,1.2419796,0.5736408,-0.45846558,-0.7643013,0.042045593,0.605217,-0.2558136,1.1139755,-0.29143333,-0.48519516,0.7016144,0.7997551
