# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.RATON_2022_Mar_29_11_16_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Mar 29 11:29:28 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1: Log2(normalized),MF_KO_C2: Log2(normalized),MF_KO_C3: Log2(normalized),MF_KO_C4: Log2(normalized),MF_KO_C5: Log2(normalized),MF_KO_C6: Log2(normalized),MF_KO_ET1: Log2(normalized),MF_KO_ET2: Log2(normalized),MF_KO_ET3: Log2(normalized),MF_KO_ET4: Log2(normalized),MF_KO_ET5: Log2(normalized),MF_KO_ET6: Log2(normalized),MF_WT_C1: Log2(normalized),MF_WT_C2: Log2(normalized),MF_WT_C3: Log2(normalized),MF_WT_C4: Log2(normalized),MF_WT_C5: Log2(normalized),MF_WT_C6: Log2(normalized),MF_WT_ET1: Log2(normalized),MF_WT_ET2: Log2(normalized),MF_WT_ET3: Log2(normalized),MF_WT_ET4: Log2(normalized),MF_WT_ET5: Log2(normalized),MF_WT_ET6: Log2(normalized),MM_KO_C1: Log2(normalized),MM_KO_C2: Log2(normalized),MM_KO_C3: Log2(normalized),MM_KO_C4: Log2(normalized),MM_KO_C5: Log2(normalized),MM_KO_C6: Log2(normalized),MM_KO_ET1: Log2(normalized),MM_KO_ET2: Log2(normalized),MM_KO_ET3: Log2(normalized),MM_KO_ET4: Log2(normalized),MM_KO_ET5: Log2(normalized),MM_KO_ET6: Log2(normalized),MM_WT_C1: Log2(normalized),MM_WT_C2: Log2(normalized),MM_WT_C3: Log2(normalized),MM_WT_C4: Log2(normalized),MM_WT_C5: Log2(normalized),MM_WT_C6: Log2(normalized),MM_WT_ET1: Log2(normalized),MM_WT_ET2: Log2(normalized),MM_WT_ET3: Log2(normalized),MM_WT_ET4: Log2(normalized),MM_WT_ET5: Log2(normalized),MM_WT_ET6: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
TG 54:6  RT:14.194,1.2060537,0.03018856,0.34185696,-1.4547052,0.51360416,0.05992031,-0.31797504,-2.2902746,0.4995489,-1.2593946,-3.1382933,0.42161655,-1.0256834,1.7673349,-1.3401537,0.19411373,-3.4759855,1.3744307,0.47546673,0.83866024,0.474864,-0.6270819,0.9102545,0.34517574,0.82485104,0.0955534,-0.274024,0.29411602,-0.038428307,-0.38613796,-0.44969273,0.05120945,-1.4633017,-0.03018856,1.1947451,-0.28553486,-1.4925032,-2.6346521,-0.08521557,0.1216383,0.3082075,0.22218609,0.5185499,-0.5618372,-2.86728,-1.6402693,-0.1964674,-0.4787531,TG 54:6,"TG 54:6 [ C57 H98 O6, tgt=71.06, overall=71.06, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 54:6  RT:14.194
TG 54:6  RT:14.036,-1.6567326,2.2066956,-3.861782,-0.6237316,0.5007305,1.0412903,0.5142994,-1.188242,-24.102213,-0.478405,0.5029907,-0.63285065,-0.7971363,-22.87419,-0.58037376,-0.19407082,-2.3275585,2.5503502,0.93289566,2.0766335,-1.106945,0.3561535,0.4405384,1.7275715,1.1772327,0.61439323,-0.18435478,0.62023544,0.55604935,0.22328758,0.13968849,-1.8757095,-0.6798878,-0.70381165,-24.234663,0.15986824,-0.5854969,-5.166914,-0.4716606,1.8124657,-1.4461384,0.35802078,0.56132126,0.17888069,0.7779331,-0.89040756,0.27064133,-0.13968849,TG 54:6,"TG 54:6 [ C57 H98 O6, tgt=83.83, overall=83.83, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 54:6  RT:14.036
TG 56:6,0.80190086,0.38149834,0.113773346,-0.2319088,-0.02046585,-0.91547394,0.028579712,0.2812767,0.11610985,-1.5687237,0.060077667,0.5150547,0.20993805,0.789587,-0.09185028,0.02909851,0.6035137,0.78313446,0.6561947,0.71702576,0.82665825,1.1148739,0.8064327,0.3210945,-1.1604042,-0.77861977,-0.792202,-1.0475807,-0.1862812,-1.895153,-0.44598007,-0.11162567,-0.1948204,-0.29364586,-0.018405914,0.08889198,-0.29688835,-0.5045147,-0.67383385,0.13217163,-0.25419235,-1.5168896,0.41039658,0.24585342,-0.5194359,-0.98687935,0.018405914,-0.1645279,TG 56:6,"TG 56:6 [ C59 H102 O6, tgt=80.34, overall=80.34, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 56:6
TG 52:5,0.42606163,0.014787674,-0.8704853,-0.1989727,-0.18413353,-0.012359619,-2.2558022,-1.0841751,-0.8366661,-2.3497124,-0.67858505,-0.48773766,0.1930809,0.94114304,0.012359619,0.3593769,0.95446205,1.2450123,0.38686943,-0.06331825,-0.31741524,0.6065178,-1.1333218,0.5014057,-0.91649246,-2.998249,0.3716011,-1.0708599,0.9290409,-0.35604286,0.45195007,0.049404144,-0.14426231,-1.0011806,0.4655323,0.49917412,-0.0314579,-0.4168415,-0.4193058,0.2457695,-0.5452175,-0.48923683,0.6670685,0.604969,0.1798439,0.38492584,0.3145256,0.3587799,TG 52:5,"TG 52:5 [ C55 H96 O6, tgt=71.03, overall=71.03, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 52:5
SM d18:0_24:2,0.82388306,0.37182426,0.54740334,0.89185333,1.2343864,0.83221817,1.5095406,0.6213856,0.6427307,1.4117584,0.51506996,0.82141495,-0.20408058,-22.699703,0.06818199,-0.27714348,0.05832863,-21.759674,-0.22112083,0.4639511,0.24570656,-0.7044468,-0.499691,-0.2210617,-24.608644,-1.2429752,-0.6706829,0.19287682,-0.83556366,-0.70399666,0.29404068,0.7808304,1.3828659,1.2592697,0.81002045,-0.049871445,-2.5934029,-1.2273483,-2.5577888,-1.9969177,-1.5323963,-1.2655354,-1.0965786,-1.5112133,-24.444796,-0.76843643,0.5447178,0.049871445,SM d18:0_24:2,"SM d18:0_24:2 [ C47 H93 N2 O6 P, tgt=96.74, overall=96.74, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d18:0_24:2
TG 16:0_16:1_16:1,-22.517878,0.5138531,-1.0858955,-0.48644447,-0.6379185,-0.17871857,-0.7086601,-0.75229645,-1.2643719,-2.0997944,-0.5110054,-22.414436,0.79734993,0.5808029,0.8341503,0.041023254,-23.33458,1.9177914,-23.80296,-0.49134827,0.2204361,0.089782715,-0.07677269,-24.008383,0.92889404,-24.550531,0.85816574,0.96694756,-23.766968,0.37814903,0.65776634,-0.4174404,-0.24082565,-0.34523773,0.71731186,1.0766163,1.6124191,0.27969933,1.140604,1.0951405,-0.041023254,0.4481144,0.043941498,0.8977356,0.931633,0.3330288,-24.411715,-0.185812,TG 16:0_16:1_16:1,"TG 16:0_16:1_16:1 [ C51 H94 O6, tgt=91.27, overall=91.27, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_16:1_16:1
TG 16:0_18:0_18:1  RT:16.534,0.9053116,0.5661869,0.2752037,-0.19691467,-0.044080734,-0.38071823,1.0327091,0.08316803,-0.30423355,0.8502979,0.08488464,1.0087528,-0.596962,0.92379,0.044080734,-0.42799187,0.088609695,1.8638191,-0.37977028,0.42373466,0.5670891,0.56874084,-0.3727188,23.40076,-0.9851513,-1.1273422,23.49325,-1.3866425,-0.3437786,-1.2800331,22.55725,22.32672,-0.8026428,-0.36933136,-0.43668365,23.31534,23.808048,-1.3667698,0.19916534,-0.31620407,-0.4765663,23.027266,-0.47585297,-0.43775558,23.25642,-0.77292633,-0.9885254,-1.1064949,TG 16:0_18:0_18:1,"TG 16:0_18:0_18:1 [ C55 H104 O6, tgt=86.75, overall=86.75, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_18:0_18:1  RT:16.534
TG 16:0_18:0_18:1  RT:16.389,24.47572,24.019253,-0.07426453,-0.5463829,23.765936,-0.73018646,0.6832409,-0.2663002,-0.6537018,0.5008297,-0.2645836,0.6592846,24.60443,23.81295,23.701982,-0.7774601,-0.26085854,25.071995,-0.7292385,0.07426643,0.21762085,0.21927261,-0.72218704,-0.93466187,23.998892,23.532095,23.305256,23.589363,-0.69324684,23.28325,-1.0384312,22.970173,-1.152111,-0.7187996,23.453754,-0.33797836,-0.84456253,22.641136,-0.15030289,-0.6656723,-0.82603455,22.974415,22.530697,-0.7872238,23.037813,-1.1223946,-1.3379936,-1.4559631,TG 16:0_18:0_18:1,"TG 16:0_18:0_18:1 [ C55 H104 O6, tgt=89.14, overall=89.14, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_18:0_18:1  RT:16.389
TG 56:5,1.0145845,-0.2062788,-0.308156,0.08689976,-0.5809145,-0.55704594,0.7293234,-0.31144238,0.052983284,-0.6514387,0.18480206,0.8520365,0.5011492,-0.8167772,0.4968977,0.29948902,0.8949938,1.2421007,1.1068811,0.8463278,0.6161909,1.2719908,-0.7042856,-0.5475302,-0.43552303,-0.8728819,-0.8149557,-2.5653143,-0.82207775,-0.17384434,-0.33346844,-0.08747196,-0.086009026,-0.051213264,-0.014227867,0.06479359,0.28742886,-0.4003172,-0.26148129,0.06600094,-0.07820225,0.014227867,0.7514696,0.5347471,0.16508579,0.32620716,-0.41357708,0.024708748,TG 56:5,"TG 56:5 [ C59 H104 O6, tgt=76.51, overall=76.51, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 56:5
LPC 22:6/0:0,-21.618355,1.1930494,0.009951592,-22.720581,-22.567749,1.0584879,1.2895231,0.46452618,0.20061207,-0.22591877,0.45606327,-21.514915,-0.09941769,0.6704607,0.48393917,-0.43391323,0.23201466,0.9914808,-0.23044682,-22.099934,0.699811,-0.69199276,-0.0898695,-0.70559216,-23.50882,-0.69420147,-0.28221035,-1.1090956,-0.5599718,-0.015156746,-0.83986187,0.1529398,0.14923382,0.56006336,0.8680315,0.47643566,-0.009951592,0.62258816,0.5990286,0.46939945,0.44710827,0.891469,0.0967226,-0.019581795,-0.22617626,-23.296593,0.37588406,-0.7902765,LPC 22:6/0:0,"LPC 22:6/0:0 [ C30 H50 N O7 P, tgt=97.53, overall=97.53, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 22:6/0:0
