# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.RATON_2022_Mar_29_11_16_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Mar 29 11:29:28 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1: Log2(normalized),MF_KO_C2: Log2(normalized),MF_KO_C3: Log2(normalized),MF_KO_C4: Log2(normalized),MF_KO_C5: Log2(normalized),MF_KO_C6: Log2(normalized),MF_KO_ET1: Log2(normalized),MF_KO_ET2: Log2(normalized),MF_KO_ET3: Log2(normalized),MF_KO_ET4: Log2(normalized),MF_KO_ET5: Log2(normalized),MF_KO_ET6: Log2(normalized),MF_WT_C1: Log2(normalized),MF_WT_C2: Log2(normalized),MF_WT_C3: Log2(normalized),MF_WT_C4: Log2(normalized),MF_WT_C5: Log2(normalized),MF_WT_C6: Log2(normalized),MF_WT_ET1: Log2(normalized),MF_WT_ET2: Log2(normalized),MF_WT_ET3: Log2(normalized),MF_WT_ET4: Log2(normalized),MF_WT_ET5: Log2(normalized),MF_WT_ET6: Log2(normalized),MM_KO_C1: Log2(normalized),MM_KO_C2: Log2(normalized),MM_KO_C3: Log2(normalized),MM_KO_C4: Log2(normalized),MM_KO_C5: Log2(normalized),MM_KO_C6: Log2(normalized),MM_KO_ET1: Log2(normalized),MM_KO_ET2: Log2(normalized),MM_KO_ET3: Log2(normalized),MM_KO_ET4: Log2(normalized),MM_KO_ET5: Log2(normalized),MM_KO_ET6: Log2(normalized),MM_WT_C1: Log2(normalized),MM_WT_C2: Log2(normalized),MM_WT_C3: Log2(normalized),MM_WT_C4: Log2(normalized),MM_WT_C5: Log2(normalized),MM_WT_C6: Log2(normalized),MM_WT_ET1: Log2(normalized),MM_WT_ET2: Log2(normalized),MM_WT_ET3: Log2(normalized),MM_WT_ET4: Log2(normalized),MM_WT_ET5: Log2(normalized),MM_WT_ET6: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
TG 16:0_16:0_18:0  RT:16.603,1.1558857,0.816761,0.5257778,0.05365944,0.20649338,-0.13014412,1.2832832,0.33374214,-0.05365944,1.100872,20.116161,1.2593269,-0.34638786,1.1743641,25.894325,-0.17741776,0.3391838,2.1143932,-0.12919617,0.6743088,0.8176632,0.81931496,21.648619,22.885479,-0.7345772,-0.8767681,22.088667,-1.1360683,-0.0932045,-1.029459,-0.43838882,-0.11528206,21.814528,-0.11875725,-0.18610954,23.04856,-0.24452019,-1.1161957,0.44973946,-0.06562996,-0.2259922,24.05241,-0.22527885,-0.18718147,-0.5707283,-0.5223522,-0.7379513,-0.8559208,TG 16:0_16:0_18:0,"TG 16:0_16:0_18:0 [ C53 H102 O6, tgt=93.33, overall=93.33, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_16:0_18:0  RT:16.603
TG 16:0_16:0_18:0  RT:16.434,2.1728888,-21.492931,-21.783913,1.0791407,1.1542845,1.3989382,1.6992788,1.1860743,0.6250906,-0.65084934,-1.587285,1.3054075,-22.656078,-21.135326,-22.015038,-22.48711,-21.970509,4.8749,-22.438889,3.4966536,-21.492027,3.0576754,-0.42636395,1.187892,0.6024294,-23.186459,0.06037426,-23.445759,-22.402897,-23.33915,-1.2305212,1.1255293,-0.06037426,-22.428448,-22.4958,1.1717539,1.9945364,0.8730993,-21.859951,2.3005953,2.3863726,-22.656773,1.6523867,1.8421717,-0.79762936,1.2104769,-23.047642,0.6982908,TG 16:0_16:0_18:0,"TG 16:0_16:0_18:0 [ C53 H102 O6, tgt=92.37, overall=92.37, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_16:0_18:0  RT:16.434
TG 16:0_17:1_18:1,0.010900497,1.120472,-0.834095,-0.33003235,-0.6192703,-0.010900497,-22.170755,-0.46721458,-0.9103584,-22.353167,-0.12400055,0.1541233,-23.800426,-22.279675,-23.159384,-23.631456,1.0415287,1.4897938,0.35913086,-0.70318604,-0.21372986,0.22474098,-23.576183,-23.788658,1.5771542,-24.330807,1.1013355,0.22051811,1.1357155,0.58437157,0.6018753,-0.40062904,-0.413023,-0.96289444,0.2553444,0.45527077,-23.698559,-0.18177414,0.29032707,0.6958294,-0.5258026,0.06403923,0.55768013,0.86346817,0.5462589,0.3727169,0.53987694,0.0711956,TG 16:0_17:1_18:1,"TG 16:0_17:1_18:1 [ C54 H100 O6, tgt=95.31, overall=95.31, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_17:1_18:1
PC 38:2,-0.81730556,-0.3661108,-0.99262905,-0.7568922,-0.59047985,-0.78236866,-0.60792446,-0.39541912,-0.6702337,0.9768686,0.37804127,0.18257809,-0.65614796,-1.1853476,0.35052395,-0.2676592,-0.19311428,-0.001366615,-0.2647257,0.49944782,-0.02846241,-0.23553371,-1.3610201,-0.23216343,-0.7709131,-0.18723202,-0.39984226,0.4530077,0.6200609,0.17114925,0.5576353,0.19836521,0.023993492,0.6453352,0.37704754,0.7199812,-0.22322369,0.2885065,0.001366615,0.1258707,-0.120425224,0.24382877,0.7228308,0.37445927,0.10965252,0.6856756,0.79599476,0.30349255,PC 38:2,"PC 38:2 [ C46 H88 N O8 P, tgt=88.76, overall=88.76, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 38:2
TG 58:9,-22.491833,-0.2320404,0.19728851,0.35147095,0.13864708,-0.17001343,-0.30292702,0.12413216,0.5493336,-1.4655094,-0.02828598,0.36037254,0.18472481,1.3104706,0.02828598,0.61551857,0.8591614,0.94462967,0.97167015,1.0484333,0.54478836,1.929594,0.20882225,0.90465164,-1.187067,-1.1303387,-1.011179,-1.7627945,-0.8458538,-0.21284866,-0.5786896,0.34435844,-0.2315197,-0.118061066,0.25885582,-0.39037895,-0.57571983,-0.27334213,-1.0323505,-0.70659447,0.04267502,0.14458847,0.5350609,0.03293228,-0.65028,-0.5721798,-0.56134605,-0.40100288,TG 58:9,"TG 58:9 [ C61 H100 O6, tgt=70.53, overall=70.53, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 58:9
TG 54:7,-19.534988,3.2918425,-20.165096,0.80688953,-20.484383,2.1788607,0.35416317,-20.357132,-20.744534,1.2777548,1.0991316,-19.43155,-21.037262,-19.51651,-20.396221,1.4289694,1.2712564,-18.57648,2.2843504,2.081624,-19.87321,-19.87156,3.228856,2.3878374,3.9120283,2.5049086,1.9794912,2.7186632,1.9352655,1.652791,0.42391872,-20.806156,-21.242943,-20.809631,-20.876984,-0.35416317,-20.935394,-21.807072,-20.241135,3.1151266,-20.916866,-21.037956,2.6059656,-20.878056,1.6725454,-21.213226,2.3146715,2.0761938,TG 54:7,"TG 54:7 [ C57 H96 O6, tgt=86.33, overall=86.33, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 54:7
TG 17:1_18:1_18:1,-0.5429535,-0.8820782,-1.1730614,21.36544,-1.4923458,-1.8289833,-0.41555595,21.58118,21.141243,-0.59796715,22.227747,-0.43951225,-2.045227,-0.5244751,21.464664,-1.876257,22.713945,0.41555405,22.568804,-1.0245304,-0.881176,-0.87952423,22.484703,-2.0334587,21.87351,-2.5756073,21.606237,21.4154,22.664017,21.920792,-2.137228,21.768732,21.105658,21.030306,21.747467,21.373785,-1.9433594,21.257174,-1.2490997,-1.7644691,-1.9248314,21.424551,-1.924118,-1.8860207,-2.2695675,22.47762,22.303822,22.020342,TG 17:1_18:1_18:1,"TG 17:1_18:1_18:1 [ C56 H102 O6, tgt=73.24, overall=73.24, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 17:1_18:1_18:1
TG 16:0_18:1_22:6,0.81856537,0.4794407,23.525618,-0.2836609,-0.13082695,-0.46746445,0.9459629,23.887537,-0.39097977,0.7635517,-0.001861572,0.9220066,-0.6837082,0.83704376,-0.04266548,-0.5147381,0.00186348,1.7770729,-0.4665165,0.33698845,0.48034286,0.48199463,-0.45946503,-0.67193985,-1.0718975,22.020258,22.031713,-1.4733887,21.852219,22.447107,-0.77570915,-0.4526024,-0.88938904,-0.45607758,-0.5234299,-0.07525635,23.50649,-1.453516,0.11241913,23.466854,23.50273,-0.68440247,-0.5625992,-0.5245018,-0.9080486,21.499403,22.952662,23.020702,TG 16:0_18:1_22:6,"TG 16:0_18:1_22:6 [ C59 H100 O6, tgt=67.98, overall=67.98, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_18:1_22:6
TG 56:8  RT:13.860,0.8775253,21.938017,0.24741745,-0.22470093,-0.07186699,22.890854,1.0049229,0.055381775,-0.3320198,0.8225117,0.05709839,0.98096657,-0.62474823,0.8960037,0.01629448,22.806353,0.06082344,1.8360329,-0.40755653,22.925917,0.5393028,0.5409546,23.738686,-0.6129799,-1.0129375,18.631302,21.909912,23.349102,-0.37156487,22.28735,-0.7167492,-0.39364243,-0.8304291,-0.3971176,-0.4644699,-0.016296387,-0.52288055,-1.394556,0.17137909,-0.34399033,-0.50435257,-0.6254425,-0.5036392,-0.46554184,21.57932,-0.8007126,-1.0163116,-1.1342812,TG 56:8,"TG 56:8 [ C59 H98 O6, tgt=75.68, overall=75.68, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 56:8  RT:13.860
CE 20:4,1.8111124,0.71853733,1.0390596,0.8410368,1.0808496,0.44438267,-22.199131,0.76378727,0.43114758,0.93765545,0.33679867,1.2493677,-0.87743664,0.79186916,0.11112881,-1.359765,-0.21734333,0.96965504,-0.6078367,-0.23849392,0.91196346,0.73829746,-1.3368235,-1.2539988,-1.2814798,-1.2368364,-1.0829439,-1.2531576,-0.7937231,-0.8290186,-0.98715115,0.79339886,0.2924528,-23.601173,0.5067129,0.24290371,0.6007967,0.054854393,-0.18335056,0.32869053,-23.708408,0.6054888,-0.054854393,-0.13645077,-1.5704432,-0.40391254,-0.49145222,-1.0732889,CE 20:4,"CE 20:4 [ C47 H76 O2, tgt=97.37, overall=97.37, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,CE 20:4
SM d42:3,0.3622303,0.016139984,0.16905785,1.4459839,1.7748966,0.2919712,2.0366745,-0.09188652,0.9792061,0.7468033,-0.08041382,1.4864464,-0.057086945,-0.07974434,-0.016139984,-0.28949356,0.07048988,0.26426697,-0.59062195,0.33426476,-0.016456604,-0.6474781,-0.65159416,-0.63137245,-1.4079132,-0.1792221,-0.94194794,0.20112228,-0.31188774,-0.7636795,-0.23281479,-0.052991867,0.9359741,0.7368355,-0.052440643,-0.15545464,-0.2944641,0.06552696,-0.34378052,-0.026447296,0.032621384,0.32979584,0.34044838,0.095500946,-0.45691872,0.44947624,0.45567703,0.020858765,SM d42:3,"SM d42:3 [ C47 H91 N2 O6 P, tgt=96.77, overall=96.77, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d42:3
SM d34:2,0.8403969,0.1829319,0.10702515,0.59205437,0.7086582,0.32836914,0.9509468,0.1873951,0.2958088,0.6504822,-0.3043747,0.23537445,0.7178993,0.120874405,-0.011249542,-0.56188583,0.07904625,0.27325058,0.014183044,-1.1246376,0.21164513,-0.9867649,-0.5308151,-0.4165783,-0.271307,-0.47493553,-0.36844254,0.25712585,-0.16802979,-1.7862186,0.18182945,-0.6918049,-0.034215927,0.78147507,-0.53269196,0.6413841,0.11431122,-0.38296318,-0.32155228,-0.21906471,-0.09568405,-0.86623764,0.027503967,0.011249542,-2.2408218,-1.0283928,-0.73446274,-0.43270493,SM d34:2,"SM d34:2 [ C39 H77 N2 O6 P, tgt=86.60, overall=86.60, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d34:2
TG 51:3,0.056632996,0.249012,-0.98882675,-0.8202915,-1.1812057,-0.06630516,-2.1550465,-1.7957783,-1.201994,-2.862667,-0.74944687,-0.73235893,-0.44596863,0.067770004,0.24152374,-0.006031036,0.8303757,1.6072178,0.106500626,-0.57818604,-0.297966,0.006031036,0.18013191,0.28163147,1.0679798,0.65175056,0.93139267,-1.3408394,1.1131516,-0.37178802,0.47085,-0.35539055,-0.69128036,-1.0715332,0.17825127,0.46308136,0.37729454,-0.3750515,-0.3477707,0.49383926,-0.64011955,0.04496765,0.47880745,0.7834091,-0.37906456,0.27815437,0.39505768,-0.089336395,TG 51:3,"TG 51:3 [ C54 H98 O6, tgt=91.47, overall=91.47, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 51:3
SM d40:1,0.42765713,-0.010331154,0.3047018,0.20003605,0.9325037,0.6728754,0.9342966,0.010331154,0.29313564,0.9140043,0.03851986,0.2505293,-0.1353693,-1.3298788,-0.7669821,-1.0836172,-0.5525198,0.014672279,-1.0916853,-0.5095396,-2.109767,-1.6086054,-1.1245623,-0.97581196,-0.66637707,-0.25139523,-0.52845097,0.3179655,0.9064722,0.3261652,0.4199934,2.2725496,2.7082071,1.2369337,1.3649321,1.4336138,-1.6062403,0.4243536,-1.4227514,-0.7830763,-1.0682917,-0.17646503,-0.64282894,-0.39786434,-1.5130281,-1.3135252,1.4905062,0.38000584,SM d40:1,"SM d40:1 [ C45 H91 N2 O6 P, tgt=94.42, overall=94.42, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d40:1
LPC 18:2/0:0,-0.11767864,0.7851534,-1.5296164,-1.9713106,-24.802853,0.7700052,1.333108,0.5393686,-0.47696018,-2.069192,0.7080927,-0.005932808,0.001799583,0.32978153,0.41209507,-0.04413891,-0.52107716,0.32515812,-0.8026495,-0.09598446,-0.18272686,-0.68729496,-0.69627094,-0.44139957,-0.7288294,0.16321278,0.34691525,-0.06757641,0.2968378,0.5430498,-0.23172474,-0.29756832,0.50461674,0.4040346,1.2105474,1.4651766,0.06527233,0.35757923,0.5144644,-0.03643322,0.14043903,-0.001799583,0.32474232,-0.19271755,0.3544569,-0.9720259,0.9035616,-0.65557194,LPC 18:2/0:0,"LPC 18:2/0:0 [ C26 H50 N O7 P, tgt=98.82, overall=98.82, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 18:2/0:0
LPC 0:0/18:2,0.33867264,-4.52E-04,-0.29143524,-0.7635536,-0.6107197,-0.9473572,0.46607018,-0.48347092,-0.8708725,0.28365898,-0.4817543,0.44211388,20.85041,0.35715103,-0.5225582,-0.9946308,20.580227,1.2971802,-0.9464092,-0.14290428,4.50E-04,0.002101898,-0.93935776,-1.1518326,20.70866,22.142721,22.04028,20.557596,20.584452,22.154142,20.247746,20.534935,-1.3692818,-0.9359703,-1.0033226,-0.5551491,21.25014,21.37353,21.32749,21.035719,-1.0432053,-1.1642952,-1.0424919,-1.0043945,21.32972,20.455263,-1.5551643,-1.6731339,LPC 0:0/18:2,"LPC 0:0/18:2 [ C26 H50 N O7 P, tgt=98.08, overall=98.08, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 0:0/18:2
PC 35:1,0.49094486,0.62858295,-0.06291866,0.33902073,-0.21996021,-0.31668758,1.3613329,0.51080036,-2.1974344,0.505311,0.4618578,0.82446,-0.031508446,-0.76832867,-0.35265255,0.01214695,-0.6155195,0.18183422,-1.3416052,0.39200878,0.4172926,-0.3235197,-0.34126377,-0.009631157,0.26737118,0.058485985,-0.49511623,-0.44474316,0.40035534,-0.7130747,0.5275564,0.009631157,0.18254948,-0.3826151,0.3058424,0.15249348,-1.0403013,0.027121544,-0.23241901,-0.62443256,-0.4906969,0.34847546,0.38571835,0.21189785,-0.4088316,-0.16802692,-1.0554857,-1.0005865,PC 35:1,"PC 35:1 [ C43 H84 N O8 P, tgt=83.19, overall=83.19, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 35:1
LPC 19:0/0:0,-9.755907,-10.095032,-10.386015,9.772167,-10.705299,9.548067,-9.6285095,-10.578051,-10.965452,-9.810921,-10.576334,-9.652466,-11.258181,-9.737429,-10.617138,-11.0892105,-10.572609,-8.7973995,-11.040989,-10.237484,-10.09413,-10.092478,8.930918,-11.246412,10.5601635,9.698116,10.338951,10.134367,10.332212,10.456818,-11.350182,10.654341,9.927092,-11.03055,10.0644455,10.380894,9.936958,10.20949,-10.462053,10.181107,9.498949,10.072094,10.017458,9.922335,8.7973995,9.606474,10.683226,9.595509,LPC 19:0/0:0,"LPC 19:0/0:0 [ C27 H56 N O7 P, tgt=86.51, overall=86.51, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 19:0/0:0
SM d42:1,-0.0774107,-0.2001524,0.8241606,-0.16652584,1.2492552,-0.209054,0.2614603,-0.19308376,0.037905693,1.1640673,0.305295,0.74602985,-0.6438112,-0.43195248,-0.16787815,-0.47134686,0.22786427,0.7851553,-0.3913641,0.9518652,0.78044224,-0.90573025,0.10699558,0.66333485,-1.5242395,-0.12518406,-1.013154,-0.25666904,-0.31431866,-0.6367941,-0.31211948,-0.5873804,0.52583027,-0.15009212,0.16020107,-0.2605505,-0.4841547,0.4765501,0.046278954,0.14664555,0.024025917,0.33180332,-0.024025917,0.26754856,-0.810874,0.24262333,0.2880621,0.6049681,SM d42:1,"SM d42:1 [ C47 H95 N2 O6 P, tgt=94.26, overall=94.26, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d42:1
TG 58:10,0.7418747,-0.4047966,0.10181427,0.42232895,0.51514244,0.76875687,-0.6218109,-0.44096184,0.1329937,-1.4602013,-0.61764336,-0.10385132,-0.018035889,0.95718956,-0.37700272,0.72123146,1.0930653,0.9707737,1.4655781,1.504406,-0.006725311,1.2019215,1.6188469,1.121109,-0.29681206,-0.7549534,-0.7246609,-0.8605919,0.23529625,0.09270477,-0.84978867,-0.16390419,-0.015516281,-0.45186615,0.13150215,-0.37165642,-0.6187763,0.089113235,-1.4722519,-0.21967316,0.006725311,0.19213104,-0.42238617,0.6728554,-0.5200901,-0.45768166,0.11705017,0.46318626,TG 58:10,"TG 58:10 [ C61 H98 O6, tgt=89.60, overall=89.60, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 58:10
TG 48:1,-0.01212883,0.534647,-0.39068604,-0.28560448,-0.34498787,-0.1817894,0.5369835,-0.6134186,-0.55604553,-0.76887894,0.07499695,0.64614487,0.42080688,0.47899055,0.40826035,-0.5502949,0.49892235,1.7705154,-0.65291214,0.427742,0.116436005,0.46455383,-0.46105003,-0.6225395,0.589838,0.5811024,0.3959427,0.6263943,0.2623024,-0.1380291,-0.3576603,-0.83545494,-0.5955124,-0.58480835,0.01212883,0.13697624,1.073904,-0.57990265,1.5618954,1.2021637,-0.35750008,-0.05760765,-0.6603966,0.083660126,0.045145035,-0.61216927,-0.36633682,-0.9187412,TG 48:1,"TG 48:1 [ C51 H96 O6, tgt=96.09, overall=96.09, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 48:1
TG 53:2,-20.92059,-21.259712,-21.550697,-1.0473547,-21.86998,-22.20662,-20.79319,-21.742733,0.3476305,-20.975601,-21.741016,-20.817146,-0.0641222,-20.902111,-21.781818,-22.253891,-21.73729,-19.962082,1.3153505,-21.402164,1.0797243,-21.25716,2.2418165,2.1210928,2.1222887,0.96672916,0.92177105,0.7800188,0.57122135,0.5889425,0.7151995,0.5234957,-0.6794691,-1.2609148,0.74132824,-0.028025627,1.5946207,0.03739834,0.20742512,0.732728,-1.2706289,0.028025627,0.43514538,2.0594454,-22.647202,0.42729282,1.7539148,1.0331583,TG 53:2,"TG 53:2 [ C56 H104 O6, tgt=95.59, overall=95.59, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 53:2
SM d40:2,0.53607845,-0.005288124,0.19562244,0.42481518,0.5668478,0.15117359,0.9587908,-0.1596632,-7.52E-04,0.7465944,0.11542797,0.6010618,-0.6812029,-2.0111532,-1.3675451,-1.6531496,-1.4245157,-0.637517,-1.494811,-1.1111555,-1.1178637,-1.1232271,-0.9971132,-1.1407881,-0.008704186,7.52E-04,-0.09668636,0.7448721,0.56883717,0.43714237,1.0717459,1.4497728,1.4419909,1.5016298,1.1925802,1.5744047,-0.5254183,0.33352757,-0.8157377,-0.3966837,-0.45462894,-0.13418865,0.5349817,-0.26598072,-1.2438307,0.46200848,0.19483852,0.092627525,SM d40:2,"SM d40:2 [ C45 H89 N2 O6 P, tgt=94.16, overall=94.16, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d40:2
TG 15:0_16:0_18:2,-0.49901962,0.48147774,-1.4747486,-0.49814987,-0.8524933,0.08902359,-1.049408,-1.2886219,-1.7991867,-21.014194,-0.6498642,-0.8211899,0.37230873,0.11626625,0.26503563,0.26156998,0.7797184,1.8174057,-0.12882042,-0.49245644,-0.39045334,-0.083257675,-0.12743378,0.04421997,1.5392323,1.2245121,0.97797585,0.52064896,1.1196651,0.24722862,0.24763489,-0.6198845,-0.8067665,-1.0677319,-0.06142044,0.2833233,0.7477188,-0.012290955,0.98895454,0.49106407,-0.5524235,-0.11026573,0.121191025,0.80397606,0.23480797,-0.2695999,0.012290955,-0.46718407,TG 15:0_16:0_18:2,"TG 15:0_16:0_18:2 [ C52 H96 O6, tgt=95.53, overall=95.53, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 15:0_16:0_18:2
TG 17:1_18:1_18:2,-20.91561,0.6780987,-21.545717,-0.033353806,-21.865002,-0.88637924,-20.788212,-21.737753,-2.0118294,-20.970623,0.35051918,-1.8423862,0.60546684,-20.897131,0.2947464,0.7879772,1.1681042,-19.957102,1.0772285,-21.397186,-21.253832,0.4788742,1.0762291,0.51982117,0.7738991,-22.948263,0.7486706,-0.07232857,0.8984566,0.57456017,0.76947784,0.5391655,-0.24809837,-22.190252,-0.6683979,-0.12853241,-22.316015,0.033353806,-21.621756,0.6756439,-22.297487,0.14048958,-22.296774,1.0722618,0.553051,0.5685005,0.33143616,0.16313171,TG 17:1_18:1_18:2,"TG 17:1_18:1_18:2 [ C56 H100 O6, tgt=68.35, overall=68.35, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 17:1_18:1_18:2
SM d41:1,0.8494301,-0.7737541,-0.4285679,0.08259392,0.042345047,-0.14205933,0.30433464,-0.24449539,-0.69828796,1.3329468,0.32578468,-0.35002518,0.47143745,0.46640778,0.5498295,-0.30015564,0.6044693,0.6323166,0.34077072,0.7531071,-0.13790703,-0.06902504,-0.6913376,0.08082962,-0.96637726,-0.74607277,-0.5762501,-0.72161674,0.31513023,-1.2341957,-0.042345047,0.58249855,-0.16736984,0.23320007,0.34843445,0.2898674,-0.7751255,0.10894203,-0.56378555,-0.29896927,-0.074518204,0.08911133,-0.15154266,-0.30403137,-1.2632217,0.18582153,0.7233906,0.08057976,SM d41:1,"SM d41:1 [ C46 H93 N2 O6 P, tgt=93.71, overall=93.71, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d41:1
TG 52:6,-0.121881485,-0.5364189,-1.2095757,-0.5041714,-0.45017624,-0.25930977,-2.1868324,-1.5080261,-1.2352314,-3.2122726,-1.3775387,-0.9149895,-0.16123962,0.6734047,-0.49212837,0.24443626,0.73874664,0.7422371,0.2765274,-0.2275734,-0.78227806,0.21145439,0.66895485,0.3563671,0.35655403,0.31285286,0.5233135,-1.1270103,0.99650764,0.6672363,0.3543644,-0.35484886,-0.18453217,-1.1268177,0.3532238,0.320549,-0.024635315,-0.14862251,-0.66428757,0.2797947,-0.7314148,0.049467087,0.562109,0.66269493,0.024635315,0.17897034,0.5768566,0.65592194,TG 52:6,"TG 52:6 [ C55 H94 O6, tgt=75.98, overall=75.98, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 52:6
TG 56:9,0.37187576,-21.521378,-0.33712196,0.07440376,0.18583107,0.12503052,-1.2374516,-0.8734093,-0.21941376,-2.2604694,-22.00268,-0.49307632,-22.684526,1.2184792,-0.25709534,0.68284035,0.90626717,0.765007,1.0073318,0.63596535,-0.20170784,1.0949535,1.3390675,1.0028667,0.29636383,-0.3811283,-0.20319557,-0.40066528,0.859869,0.53009033,-0.108335495,-0.033044815,-0.04499626,-0.6868,0.5209465,0.15725327,-0.51413536,-0.08629227,-0.9090977,0.02766037,-0.2971897,0.1701107,1.0853996,0.7289791,-0.2251854,-0.02766037,0.48030853,1.1242409,TG 56:9,"TG 56:9 [ C59 H96 O6, tgt=72.51, overall=72.51, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 56:9
TG 56:4,0.7277107,0.4756012,-0.20399666,-0.72314453,-0.8203697,-1.2774353,0.84445953,-0.14914894,-0.36086273,-0.37072754,0.6439781,0.51052094,-0.49344254,-0.4570217,-0.046463013,-0.9126911,0.046463013,0.7836056,-0.23644447,0.8773365,0.66031456,0.6146698,0.6925297,0.29203796,0.23962021,-0.23998451,-0.12003136,-0.3498497,0.5165138,-0.3989544,-0.2517624,0.24656296,-0.25190544,-0.17403221,-0.053527832,0.099653244,0.08966255,-0.5418339,-0.13966179,0.21561432,-0.21830368,-0.39565468,0.8531132,0.8164673,0.31064796,0.41617775,0.113594055,0.2063675,TG 56:4,"TG 56:4 [ C59 H106 O6, tgt=75.98, overall=75.98, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 56:4
TG 15:0_18:2_18:2,-20.20388,0.1703453,-20.833988,-0.84282875,-1.2004147,0.2724228,-20.076483,-21.026024,-21.413425,-20.258894,-21.024307,-20.10044,0.3563118,-20.185402,0.25422478,0.8301678,-21.020582,1.7136345,0.438694,-20.685457,-20.542103,-20.540451,0.70583916,-21.694386,1.8061104,0.9553127,1.3381367,0.48690605,1.699585,0.74567986,0.79914856,-21.475048,-0.6787052,-2.414526,0.12038422,-0.025310516,0.025310516,0.25639725,-20.910027,0.62392616,-21.585758,-0.47991562,-21.585045,1.048954,0.4211979,0.2671528,0.35901642,0.12931824,TG 15:0_18:2_18:2,"TG 15:0_18:2_18:2 [ C54 H96 O6, tgt=86.17, overall=86.17, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 15:0_18:2_18:2
LPC 17:0/0:0,0.69006443,0.6070738,-0.065428734,0.0195055,0.11227512,0.6708212,1.3216486,0.79170513,0.5671797,-19.831833,0.7088175,0.68140316,-21.279095,-19.758343,0.30128193,-0.7734785,-0.52637005,-18.818314,-0.042580605,-0.45743275,-20.115044,-20.113392,-0.43623638,-0.1598196,0.29951382,-0.006508827,0.006508827,0.13263798,0.47072315,0.74971485,-0.3436308,0.37687397,0.6886625,0.40838528,-0.3021021,0.54534245,-0.20003223,0.29269123,-20.482967,-0.1349535,-0.13297176,0.6820364,0.23034,-21.119888,-0.86419964,-0.013546944,0.76107883,-0.41378117,LPC 17:0/0:0,"LPC 17:0/0:0 [ C25 H52 N O7 P, tgt=94.67, overall=94.67, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 17:0/0:0
