# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.raton cronico negativo 217000017_2022_Apr_12_08_14_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Apr 12 08:14:59 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1N: Log2(normalized),MF_KO_C2N: Log2(normalized),MF_KO_C3N: Log2(normalized),MF_KO_C4N: Log2(normalized),MF_KO_C5N: Log2(normalized),MF_KO_C6N: Log2(normalized),MF_KO_ET1N: Log2(normalized),MF_KO_ET2N: Log2(normalized),MF_KO_ET3N: Log2(normalized),MF_KO_ET4N: Log2(normalized),MF_KO_ET5N: Log2(normalized),MF_KO_ET6N: Log2(normalized),MF_WT_C1N: Log2(normalized),MF_WT_C2N: Log2(normalized),MF_WT_C3N: Log2(normalized),MF_WT_C4N: Log2(normalized),MF_WT_C5N: Log2(normalized),MF_WT_C6N: Log2(normalized),MF_WT_ET1N: Log2(normalized),MF_WT_ET2N: Log2(normalized),MF_WT_ET3N: Log2(normalized),MF_WT_ET4N: Log2(normalized),MF_WT_ET5N: Log2(normalized),MF_WT_ET6N: Log2(normalized),MM_KO_C1N: Log2(normalized),MM_KO_C2N: Log2(normalized),MM_KO_C3N: Log2(normalized),MM_KO_C4N: Log2(normalized),MM_KO_C5N: Log2(normalized),MM_KO_C6N: Log2(normalized),MM_KO_ET1N_2: Log2(normalized),MM_KO_ET2N: Log2(normalized),MM_KO_ET3N_2: Log2(normalized),MM_KO_ET4N: Log2(normalized),MM_KO_ET5N: Log2(normalized),MM_KO_ET6N : Log2(normalized),MM_WT_C1N: Log2(normalized),MM_WT_C2N: Log2(normalized),MM_WT_C3N: Log2(normalized),MM_WT_C4N: Log2(normalized),MM_WT_C5N: Log2(normalized),MM_WT_C6N: Log2(normalized),MM_WT_ET1N: Log2(normalized),MM_WT_ET2N: Log2(normalized),MM_WT_ET3N_2: Log2(normalized),MM_WT_ET4N_2: Log2(normalized),MM_WT_ET5N: Log2(normalized),MM_WT_ET6N: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
PI 18:0_20:4  RT:6.715,-22.270668,0.37327194,0.5294266,0.5057678,1.5967102,0.3810215,0.05460167,0.73319435,0.57273483,1.0182629,-0.25668716,0.3685627,-23.117115,-22.332111,-22.726215,-0.23116493,-22.681618,-21.584015,0.1489315,-22.394024,-0.42963028,-21.72126,-22.358965,0.25854492,0.20689774,0.44542313,0.6709404,-22.781116,0.9251385,0.35769463,-22.917912,-22.837406,-0.70941544,-0.5095234,-0.06596184,-0.05460167,-0.74246025,0.5665302,-0.48754692,-0.59742355,0.41857147,0.36322212,-0.36297035,1.0319538,-22.544262,0.16181946,0.5187874,0.83476067,PI 18:0_20:4,"PI 18:0_20:4 [ C47 H83 O13 P, tgt=91.72, overall=91.72, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PI 18:0_20:4  RT:6.715
PC 16:0_18:2,0.009483337,0.15532684,0.08181572,0.15368843,-0.72140884,0.1318264,0.19631386,0.1785183,-0.009485245,-0.28318405,-0.5534115,0.33434677,22.716675,22.672346,22.896206,23.030016,-0.40146637,23.156502,-0.17426491,-0.11387253,23.505741,0.5588913,-0.07881355,0.08869934,-0.35419464,-0.21753311,-0.38562965,-0.5009651,-0.6352234,0.5688648,-0.63776016,-0.5572548,21.901182,22.659576,23.373241,23.26957,22.72407,-1.3115978,-0.7705822,22.756207,-0.60837173,-0.725729,-0.5787697,0.17206764,-0.26411057,-0.26960564,-0.49448204,-0.14637947,PC 16:0_18:2,"PC 16:0_18:2 [ C42 H80 N O8 P, tgt=84.47, overall=84.47, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 16:0_18:2
FA 22:0  RT:6.113,0.26948833,0.18575001,-0.5111151,-0.11558819,0.021250725,-0.1989584,-0.01670742,-0.29175472,-0.18522167,0.1555605,-0.26050282,0.45250797,-0.12618351,0.37909794,-0.16325855,0.007023811,-0.84278965,0.9419184,0.36743832,0.14451313,0.4708166,0.9161825,-0.66834545,0.32351208,0.23863316,0.30619907,-0.006632805,-0.8822088,-0.66162586,-0.48232937,-1.0860796,-1.3117361,-1.761899,-1.7111235,-0.51482105,-0.37566662,-1.072856,-0.41714764,0.006632805,0.16036701,0.16980648,-0.42426205,0.14448833,0.4468584,0.0707407,0.3650732,0.25311184,0.4465704,FA 22:0,"FA 22:0 [ C22 H44 O2, tgt=97.40, overall=97.40, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 22:0  RT:6.113
LPC 18:0/0:0  RT:3.642,0.31384754,0.2473154,0.61913776,0.59727573,0.013035774,0.6398668,0.7221327,0.72140026,0.5184698,0.21774387,0.15038586,0.7524557,-1.1231127,-0.3695116,-0.102807045,-0.18051815,-0.19234753,-0.4342699,0.21158504,-0.36137295,-0.32586384,-0.029524803,0.2926302,0.7240267,-0.31956005,0.09539127,0.29638004,0.041722298,-0.66198254,0.19527721,0.46226978,0.11398983,-0.37635708,-0.059889793,-0.15443516,0.005375862,-0.15344715,-0.2892294,-0.9010458,-1.3332739,-0.5318136,-0.30061626,-0.35662174,-0.22413921,-0.059067726,-0.005375862,0.35461712,0.42247486,LPC 18:0/0:0,"LPC 18:0/0:0 [ C26 H54 N O7 P, tgt=91.35, overall=91.35, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 18:0/0:0  RT:3.642
PC 16:0_20:4,-21.717745,0.6736946,-21.645412,-21.57354,-22.448637,-21.595402,-21.530914,0.990324,-21.736713,-22.010412,-22.28064,1.1946507,0.1357441,-21.779188,0.09195328,0.1837368,0.39527702,0.30706596,-21.901493,0.41308784,0.4788475,0.76000786,0.95993805,-21.638529,-22.081423,-21.944761,-22.112858,-22.228193,0.18852234,1.0139618,0.7442074,-22.284483,-0.008241653,0.28622818,0.24612236,0.3519764,0.10282707,0.4460907,0.30537605,0.008241653,-22.3356,-22.452957,0.309021,-21.55516,0.63830566,-21.996834,-22.22171,-21.873608,PC 16:0_20:4,"PC 16:0_20:4 [ C44 H80 N O8 P, tgt=87.71, overall=87.71, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 16:0_20:4
LPC 16:0/0:0  RT:2.769,-0.19194508,0.08967686,0.16980648,0.22748661,-0.34767628,0.14608288,0.6317072,0.4782648,0.2953329,0.093605995,0.2048769,0.393857,-0.6737757,-0.5322218,-0.34426403,-0.38694096,-0.54695797,-0.565568,-0.08448887,-0.9918814,-0.012887001,-0.38828945,0.12201214,0.47980595,0.4155817,0.9895258,0.924983,0.8300104,-0.2627325,0.85770893,0.36431408,-0.11276913,-0.33326244,-0.20170689,0.08379841,0.25537586,-0.19606876,-0.012406349,-0.4633894,-0.61926365,0.00606823,-0.00606823,-1.0986052,-0.014662743,0.31940746,-0.05523014,0.52777004,0.70976543,LPC 16:0/0:0,"LPC 16:0/0:0 [ C24 H50 N O7 P, tgt=93.39, overall=93.39, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 16:0/0:0  RT:2.769
PC 16:0_18:1,-20.67664,2.1865282,-20.604305,1.5319891,1.6794615,-20.554295,-20.489807,-20.507603,-20.695606,-20.969307,-21.239532,1.4055319,1.7898092,1.1637945,1.9035635,1.8823633,1.8392801,1.7258177,0.65118885,1.8059225,2.3708315,1.6442385,1.5882845,-20.597424,-21.040318,-20.903656,-21.07175,-21.187088,-21.321346,3.1792765,-21.323883,-21.243378,0.05946064,-0.05946064,2.4192648,2.4810724,1.8603334,-21.997719,1.7211695,1.5710802,1.3363161,-21.41185,-21.264893,2.6302729,-20.950233,-20.955727,-21.180603,-20.8325,PC 16:0_18:1,"PC 16:0_18:1 [ C42 H82 N O8 P, tgt=78.91, overall=78.91, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 16:0_18:1
PC 18:0_18:1,11.620435,-10.472808,-10.546319,-10.474446,11.455697,-10.496308,-10.431821,-10.449616,-10.63762,-10.911319,-11.181546,12.583495,10.8713255,11.116797,11.822587,11.697654,10.630635,11.228843,-10.8024,11.471688,11.596004,12.292766,-10.706948,-10.539435,-10.982329,-10.845668,-11.013764,-11.1291,-11.263358,11.793359,12.068141,-11.1853895,11.365401,11.535369,11.980758,12.073693,-11.799994,11.228574,10.907975,10.431821,11.26522,11.312146,-11.206904,11.886956,-10.892245,-10.89774,-11.122617,-10.774514,PC 18:0_18:1,"PC 18:0_18:1 [ C44 H86 N O8 P, tgt=79.77, overall=79.77, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 18:0_18:1
SM d42:2,0.0358696,0.047252655,0.57663727,0.8351536,0.46780586,0.7185898,0.5634651,0.3939705,0.51169586,0.43088722,0.017684937,0.5911541,-1.3735123,-0.12108421,0.027666092,-0.059001923,0.10795784,-0.015434265,0.38447,-0.056886673,0.51153946,0.22941399,0.013433456,0.5255413,-0.5463295,-0.108579636,0.07278633,-0.013433456,-22.956192,0.1633892,-1.2383251,0.689867,-0.8134022,-1.0495071,-0.36286163,-0.30252075,0.080337524,-0.47226906,-1.1049194,-1.3809452,-0.45983505,-0.530056,-0.19421387,0.047740936,-0.2865734,-22.590574,-22.81545,-22.467348,SM d42:2,"SM d42:2 [ C47 H93 N2 O6 P, tgt=85.84, overall=85.84, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d42:2
FA 20:1,-0.014015198,0.3708992,0.004556656,0.8614063,-0.00850296,0.930233,0.4092636,-0.12880135,-0.2596569,0.39247894,0.15562057,0.756258,-1.0558338,-1.0929108,-0.6873436,-1.0886097,-0.7380333,-0.15762329,-0.004556656,-0.10441589,-0.7144451,-0.25235176,0.02388382,-0.15800095,0.1985836,0.4911785,1.2479591,-0.37251472,0.84246445,1.210743,0.38428688,0.6407242,-0.37516785,-0.15283966,0.21404648,0.34483147,-0.08285904,-0.4357586,-0.464571,-0.46319008,-0.49027824,0.00786972,-0.10307312,0.32058144,0.11869812,0.19891739,0.44275665,0.33693123,FA 20:1,"FA 20:1 [ C20 H38 O2, tgt=89.38, overall=89.38, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 20:1
