# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.raton cronico negativo 217000017_2022_Apr_12_08_14_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Apr 12 08:14:59 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1N: Log2(normalized),MF_KO_C2N: Log2(normalized),MF_KO_C3N: Log2(normalized),MF_KO_C4N: Log2(normalized),MF_KO_C5N: Log2(normalized),MF_KO_C6N: Log2(normalized),MF_KO_ET1N: Log2(normalized),MF_KO_ET2N: Log2(normalized),MF_KO_ET3N: Log2(normalized),MF_KO_ET4N: Log2(normalized),MF_KO_ET5N: Log2(normalized),MF_KO_ET6N: Log2(normalized),MF_WT_C1N: Log2(normalized),MF_WT_C2N: Log2(normalized),MF_WT_C3N: Log2(normalized),MF_WT_C4N: Log2(normalized),MF_WT_C5N: Log2(normalized),MF_WT_C6N: Log2(normalized),MF_WT_ET1N: Log2(normalized),MF_WT_ET2N: Log2(normalized),MF_WT_ET3N: Log2(normalized),MF_WT_ET4N: Log2(normalized),MF_WT_ET5N: Log2(normalized),MF_WT_ET6N: Log2(normalized),MM_KO_C1N: Log2(normalized),MM_KO_C2N: Log2(normalized),MM_KO_C3N: Log2(normalized),MM_KO_C4N: Log2(normalized),MM_KO_C5N: Log2(normalized),MM_KO_C6N: Log2(normalized),MM_KO_ET1N_2: Log2(normalized),MM_KO_ET2N: Log2(normalized),MM_KO_ET3N_2: Log2(normalized),MM_KO_ET4N: Log2(normalized),MM_KO_ET5N: Log2(normalized),MM_KO_ET6N : Log2(normalized),MM_WT_C1N: Log2(normalized),MM_WT_C2N: Log2(normalized),MM_WT_C3N: Log2(normalized),MM_WT_C4N: Log2(normalized),MM_WT_C5N: Log2(normalized),MM_WT_C6N: Log2(normalized),MM_WT_ET1N: Log2(normalized),MM_WT_ET2N: Log2(normalized),MM_WT_ET3N_2: Log2(normalized),MM_WT_ET4N_2: Log2(normalized),MM_WT_ET5N: Log2(normalized),MM_WT_ET6N: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
Cer_NDS d43:0,-15.267681,0.3609705,0.15517616,0.6065426,0.36097145,0.5036936,1.2087898,0.28306484,0.03386879,-15.5603485,0.48911285,0.6656971,-0.046546936,-0.11044693,-0.82557297,-15.714251,-0.7004566,-14.581028,-15.451429,-15.391037,-0.005732536,1.0668726,-0.07039547,0.047512054,0.9419327,0.7265682,0.3855648,0.78277016,1.1203461,1.22433,0.47245407,2.7206535,-16.71856,-0.42930222,-0.15748405,-0.18157959,-16.449024,-0.88634586,-16.047747,-15.83992,-15.885536,-16.002893,-15.855934,0.09522629,1.4383392,-15.54677,0.23763466,0.005732536,Cer_NDS d43:0,"Cer_NDS d43:0 [ C43 H87 N O3, tgt=69.83, overall=69.83, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NDS d43:0
PE 20:0_20:3,0.2053833,0.3512268,0.27771568,0.3495884,-0.5255089,0.32772636,0.39221382,0.37441826,0.18641472,-0.08728409,-0.35751152,0.53024673,-0.6410637,0.14393997,-0.25016403,-0.24118614,-0.2055664,0.89203644,0.021635056,0.082027435,0.37308884,0.75479126,0.11708641,0.2845993,-0.15829468,-0.021633148,-0.18972969,-0.30506516,-0.43932343,0.7647648,-0.4418602,16.119846,-1.2454948,17.401398,17.231907,17.241041,-0.9759598,-1.1156979,-0.57468224,-0.36685562,-0.41247177,-0.529829,-0.38286972,0.3679676,-0.0682106,-0.07370567,-0.29858208,0.049520493,PE 20:0_20:3,"PE 20:0_20:3 [ C45 H84 N O8 P, tgt=65.03, overall=65.03, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PE 20:0_20:3
FA 21:1  RT:4.557,1.9470329,1.4095345,-0.5700855,-0.50182915,0.4486313,1.4685574,1.6181889,-0.18494987,1.9861107,-1.4201431,1.8140049,-0.3942585,0.18494987,-16.721062,-17.115166,-17.106188,1.8733139,1.853508,-16.843367,1.8590698,1.1668358,-16.11021,2.1510315,1.9231129,2.1582432,-16.886635,-17.054731,-17.170067,1.3252602,-16.100237,0.8611202,-17.226357,-18.110497,-17.976414,0.9427681,-17.204182,1.4671803,0.37246132,1.5768166,-17.231857,1.002491,1.7264309,-17.247871,-16.497034,1.8269615,-16.938707,-17.163584,-16.815481,FA 21:1,"FA 21:1 [ C21 H40 O2, tgt=85.95, overall=85.95, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 21:1  RT:4.557
Cer_NDS d42:0,0.9381952,0.6331034,0.88891697,1.5683413,0.87045383,1.4193182,1.1198187,-16.650211,-16.838215,-17.111916,-17.382141,-16.494385,0.24187183,-0.37255383,-17.274796,-0.08502293,-17.230198,0.08502293,0.9985323,-16.942604,0.69840527,0.35101032,0.62136745,0.9345751,2.2469816,1.8487673,-17.21436,2.5710077,2.0356283,-16.259865,1.0075998,3.4675913,-18.270126,-18.136044,-17.480358,0.10758686,0.875226,-18.140327,-17.599312,-17.391487,-17.437103,-17.554459,0.50941753,-16.656662,1.1249971,-17.098335,-17.323212,-16.97511,Cer_NDS d42:0,"Cer_NDS d42:0 [ C42 H85 N O3, tgt=79.96, overall=79.96, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NDS d42:0
FAHFA 20:4_20:3,15.740079,15.7600565,0.045650482,0.11752319,16.337646,0.09566116,0.16014862,0.14235306,-0.045650482,-0.3193493,14.783968,0.29818153,11.889046,-0.08812523,-0.48222923,-0.47325134,-0.4376316,0.65997124,15.48243,16.12685,0.14102364,0.52272606,-0.11497879,0.052534103,-0.39035988,-0.25369835,-0.4217949,-0.53713036,-0.6713886,0.5326996,14.851014,-0.59342,-1.47756,-1.3434772,-0.68779373,-0.5712452,-1.208025,-1.3477631,13.832368,-0.5989208,-0.644537,-0.7618942,13.206141,13.490289,-0.3002758,14.765398,-0.5306473,13.929732,FAHFA 20:4_20:3,"FAHFA 20:4_20:3 [ C40 H64 O4, tgt=97.19, overall=97.19, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FAHFA 20:4_20:3
HexCer_NDS d40:2,14.081576,15.1733465,14.813656,0.010931015,14.897463,-0.010931015,15.772303,15.780489,-0.15224266,-0.42594147,15.237176,0.19158936,15.522894,-0.1947174,-0.5888214,-0.5798435,-0.5442238,0.55337906,-0.31702232,-0.25662994,0.034431458,0.41613388,-0.22157097,-0.054058075,16.568779,16.168148,16.531137,-0.64372253,15.341122,16.658772,16.564402,16.4374,-1.5841522,-1.4500694,14.996929,-0.6778374,-1.3146172,17.206915,15.801819,-0.705513,-0.75112915,-0.8684864,-0.7215271,0.029310226,-0.40686798,-0.41236305,-0.63723946,-0.2891369,HexCer_NDS d40:2,"HexCer_NDS d40:2 [ C46 H87 N O8, tgt=92.59, overall=92.59, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,HexCer_NDS d40:2
SM d43:2,0.19144058,0.3372841,0.26377296,0.33564568,-0.5394516,0.31378365,0.3782711,0.36047554,0.172472,-0.10122681,-0.37145424,0.516304,-0.6550064,14.87688,14.9477825,15.17454,15.079019,0.8780937,15.7188225,0.06808472,0.35914612,14.901429,15.289219,0.2706566,-0.1722374,-0.035575867,-0.20367241,-0.31900787,-0.45326614,0.75082207,14.594215,-0.37529755,-1.2594376,-1.1253548,-0.46967125,-0.3531227,-0.9899025,-1.1296406,-0.58862495,-0.38079834,-0.4264145,-0.54377174,-0.39681244,0.3540249,-0.08215332,-0.08764839,-0.3125248,0.035577774,SM d43:2,"SM d43:2 [ C48 H95 N2 O6 P, tgt=81.45, overall=81.45, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d43:2
FA 20:0  RT:4.568,0.25030518,0.39614868,0.32263756,0.39451027,18.70151,0.37264824,0.4371357,0.41934013,0.2313366,-0.042362213,-0.31258965,0.5751686,17.380478,0.18886185,-0.20524216,-0.19626427,-0.16064453,0.9369583,0.06655693,0.12694931,0.4180107,0.79971313,0.16200829,0.32952118,-0.1133728,0.023288727,-0.14480782,-0.26014328,-0.39440155,0.80968666,-0.39693832,-0.31643295,-1.200573,-1.0664902,-0.41080666,-0.29425812,-0.9310379,17.678312,-0.52976036,-0.32193375,-0.3675499,-0.48490715,-0.33794785,0.41288948,-0.023288727,-0.028783798,-0.2536602,0.09444237,FA 20:0,"FA 20:0 [ C20 H40 O2, tgt=90.46, overall=90.46, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FA 20:0  RT:4.568
FAHFA 16:0_18:2,0.25030518,0.39614868,0.32263756,0.39451027,-0.480587,0.37264824,0.4371357,0.41934013,0.2313366,-0.042362213,-0.31258965,0.5751686,19.43229,0.18886185,-0.20524216,-0.19626427,-0.16064453,0.9369583,0.06655693,0.12694931,0.4180107,0.79971313,0.16200829,0.32952118,-0.1133728,0.023288727,-0.14480782,-0.26014328,18.715252,0.80968666,-0.39693832,-0.31643295,-1.200573,-1.0664902,19.288256,-0.29425812,-0.9310379,-1.070776,-0.52976036,-0.32193375,-0.3675499,-0.48490715,-0.33794785,0.41288948,-0.023288727,-0.028783798,-0.2536602,0.09444237,FAHFA 16:0_18:2,"FAHFA 16:0_18:2 [ C34 H62 O4, tgt=93.68, overall=93.68, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FAHFA 16:0_18:2
EtherPC 16:0e_20:4,0.25030518,0.39614868,0.32263756,0.39451027,-0.480587,0.37264824,0.4371357,0.41934013,0.2313366,-0.042362213,-0.31258965,0.5751686,15.760981,0.18886185,-0.20524216,-0.19626427,-0.16064453,0.9369583,0.06655693,0.12694931,0.4180107,0.79971313,0.16200829,0.32952118,-0.1133728,0.023288727,-0.14480782,-0.26014328,-0.39440155,0.80968666,-0.39693832,-0.31643295,-1.200573,-1.0664902,15.84099,16.178307,-0.9310379,-1.070776,-0.52976036,-0.32193375,-0.3675499,-0.48490715,-0.33794785,0.41288948,-0.023288727,-0.028783798,-0.2536602,0.09444237,EtherPC 16:0e_20:4,"EtherPC 16:0e_20:4 [ C44 H82 N O7 P, tgt=63.93, overall=63.93, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,EtherPC 16:0e_20:4
Cer_AP t42:0,-0.25584793,-0.110004425,-0.18351555,14.73874,14.500975,-0.13350487,-0.06901741,-0.08681297,12.874772,-0.5485153,14.595018,0.0690155,16.829435,14.668106,14.566945,14.320124,14.254764,0.4308052,-0.43959618,14.529517,-0.088142395,15.077888,14.533713,-0.17663193,-0.6195259,-0.48286438,-0.6509609,-0.7662964,17.925854,0.30353355,-0.90309143,19.49853,-1.7067261,-1.5726433,-0.91695976,16.466118,-1.437191,-1.5769291,-1.0359135,16.301115,16.463728,17.438118,16.533575,-0.093263626,16.90442,15.841934,-0.7598133,-0.41171074,Cer_AP t42:0,"Cer_AP t42:0 [ C42 H85 N O5, tgt=80.51, overall=80.51, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_AP t42:0
LPC 20:3/0:0,-0.15677452,-0.010931015,-0.08444214,-0.012569428,-0.8876667,-0.034431458,0.030056,16.981232,-0.1757431,17.648533,-0.71966934,0.16808891,-1.0032215,-0.21821785,15.99625,-0.60334396,-0.5677242,0.5298786,-0.34052277,15.550409,0.010931015,0.39263344,-0.24507141,-0.07755852,-0.5204525,15.390043,-0.5518875,16.145569,-0.80148125,16.372644,-0.804018,15.850859,-1.6076527,-1.4735699,16.982565,16.359907,-1.3381176,-1.4778557,15.993643,15.616703,16.274815,16.370089,16.509974,16.370731,17.275042,-0.4358635,17.176437,16.955017,LPC 20:3/0:0,"LPC 20:3/0:0 [ C28 H52 N O7 P, tgt=92.50, overall=92.50, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 20:3/0:0
Cer_NDS d18:0_16:0,0.25030518,0.39614868,0.32263756,0.39451027,-0.480587,0.37264824,0.4371357,0.41934013,0.2313366,-0.042362213,-0.31258965,0.5751686,-0.5961418,0.18886185,-0.20524216,-0.19626427,-0.16064453,0.9369583,0.06655693,0.12694931,0.4180107,0.79971313,15.415634,0.32952118,-0.1133728,0.023288727,-0.14480782,16.796675,-0.39440155,0.80968666,-0.39693832,-0.31643295,-1.200573,-1.0664902,15.793745,15.745089,-0.9310379,-1.070776,-0.52976036,-0.32193375,-0.3675499,-0.48490715,-0.33794785,0.41288948,-0.023288727,-0.028783798,-0.2536602,0.09444237,Cer_NDS d18:0_16:0,"Cer_NDS d18:0_16:0 [ C34 H69 N O3, tgt=96.06, overall=96.06, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NDS d18:0_16:0
PC 14:0_18:2,0.28587723,0.43172073,0.3582096,0.43008232,-0.44501495,0.4082203,0.47270775,0.4549122,0.26690865,-0.006790161,-0.2770176,0.61074066,-0.56056976,0.2244339,-0.1696701,-0.16069221,-0.12507248,0.97253036,0.10212898,0.16252136,0.45358276,0.8352852,0.19758034,0.36509323,-0.07780075,0.05886078,-0.10923576,-0.22457123,-0.3588295,0.8452587,-0.36136627,-0.2808609,-1.1650009,-1.0309181,15.755777,-0.25868607,-0.89546585,-1.0352039,-0.4941883,-0.2863617,-0.33197784,-0.4493351,-0.3023758,0.44846153,0.012283325,0.006788254,-0.21808815,0.13001442,PC 14:0_18:2,"PC 14:0_18:2 [ C40 H76 N O8 P, tgt=72.03, overall=72.03, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 14:0_18:2
PI 16:0_20:4,0.28587723,0.43172073,0.3582096,0.43008232,-0.44501495,0.4082203,0.47270775,0.4549122,0.26690865,-0.006790161,-0.2770176,0.61074066,-0.56056976,0.2244339,-0.1696701,-0.16069221,-0.12507248,0.97253036,0.10212898,0.16252136,0.45358276,0.8352852,0.19758034,0.36509323,-0.07780075,0.05886078,-0.10923576,-0.22457123,-0.3588295,0.8452587,-0.36136627,-0.2808609,-1.1650009,-1.0309181,-0.3752346,-0.25868607,-0.89546585,20.672709,-0.4941883,-0.2863617,-0.33197784,-0.4493351,-0.3023758,0.44846153,0.012283325,0.006788254,-0.21808815,0.13001442,PI 16:0_20:4,"PI 16:0_20:4 [ C45 H79 O13 P, tgt=99.38, overall=99.38, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PI 16:0_20:4
LPC 18:0/0:0  RT:3.938,-0.10078049,0.04506302,-0.028448105,19.080086,-0.83167267,0.021562576,0.08605003,0.06825447,18.849348,-0.39344788,-0.6636753,0.22408295,-0.9472275,-0.16222382,-0.5563278,-0.54734993,-0.5117302,0.58587265,-0.28452873,-0.22413635,0.06692505,0.44862747,-0.18907738,-0.021564484,-0.46445847,18.442528,18.76509,18.540972,17.950203,0.458601,-0.748024,-0.6675186,-1.5516586,-1.4175758,-0.7618923,17.68288,-1.2821236,18.369917,17.4349,-0.6730194,17.773197,18.035246,-0.6890335,18.010347,18.266794,-0.37986946,18.984404,18.94985,LPC 18:0/0:0,"LPC 18:0/0:0 [ C26 H54 N O7 P, tgt=97.28, overall=97.28, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 18:0/0:0  RT:3.938
FAHFA 16:0_18:0,0.27634048,0.422184,0.34867287,0.42054558,-0.4545517,0.39868355,0.463171,0.44537544,0.2573719,-0.016326904,-0.28655434,0.6012039,-0.5701065,0.21489716,-0.17920685,-0.17022896,-0.13460922,0.9629936,0.09259224,17.832747,0.44404602,0.82574844,0.1880436,0.3555565,-0.087337494,0.049324036,-0.11877251,-0.23410797,-0.36836624,0.83572197,-0.37090302,-0.29039764,-1.1745377,-1.0404549,-0.38477135,-0.2682228,-0.9050026,16.854675,-0.50372505,-0.29589844,17.083832,-0.45887184,-0.31191254,0.4389248,0.002746582,-0.002748489,-0.2276249,0.12047768,FAHFA 16:0_18:0,"FAHFA 16:0_18:0 [ C34 H66 O4, tgt=97.70, overall=97.70, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,FAHFA 16:0_18:0
EtherPE 18:0e_20:4,0.22867203,0.37451553,0.3010044,0.37287712,-0.50222015,0.3510151,0.41550255,0.397707,0.20970345,-0.06399536,-0.3342228,0.55353546,-0.61777496,0.1672287,-0.2268753,-0.21789742,-0.18227768,0.91532516,0.044923782,0.10531616,0.39637756,0.77808,0.14037514,0.30788803,-0.13500595,17.846115,18.064184,-0.28177643,-0.4160347,0.7880535,-0.41857147,-0.3380661,-1.2222061,-1.0881233,-0.4324398,-0.31589127,-0.95267105,17.837568,-0.5513935,-0.3435669,-0.38918304,17.073845,-0.359581,0.39125633,-0.044921875,-0.050416946,-0.27529335,0.07280922,EtherPE 18:0e_20:4,"EtherPE 18:0e_20:4 [ C43 H80 N O7 P, tgt=95.59, overall=95.59, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,EtherPE 18:0e_20:4
SM d18:1_20:0,0.27634048,0.422184,0.34867287,0.42054558,-0.4545517,0.39868355,0.463171,0.44537544,0.2573719,-0.016326904,-0.28655434,0.6012039,-0.5701065,0.21489716,-0.17920685,-0.17022896,-0.13460922,0.9629936,0.09259224,0.15298462,0.44404602,0.82574844,0.1880436,16.005066,-0.087337494,0.049324036,-0.11877251,-0.23410797,-0.36836624,0.83572197,-0.37090302,-0.29039764,-1.1745377,-1.0404549,-0.38477135,-0.2682228,17.808954,16.387337,-0.50372505,-0.29589844,-0.3415146,-0.45887184,-0.31191254,0.4389248,0.002746582,-0.002748489,-0.2276249,0.12047768,SM d18:1_20:0,"SM d18:1_20:0 [ C43 H87 N2 O6 P, tgt=58.43, overall=58.43, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d18:1_20:0
Cer_NDS d41:0,0.08897543,1.5441937,1.6551251,2.2822423,0.66794634,-15.467447,-15.40296,-15.420755,-15.608759,-15.882458,-16.152685,-15.264927,-16.436237,0.49227,0.65144014,0.81682825,0.88511133,0.95906496,-15.773539,0.2550702,1.6361394,-15.040382,1.5146585,1.8158994,2.8426576,2.9935994,2.4249692,3.1879869,2.3336663,-15.030409,-16.237034,3.255259,-17.040668,-16.906586,-16.250902,-16.134354,-16.771133,0.9829583,0.1390214,-0.08897543,-16.207645,-16.325003,1.0488019,-15.427206,1.724196,-15.868879,-16.093756,-15.745653,Cer_NDS d41:0,"Cer_NDS d41:0 [ C41 H83 N O3, tgt=79.65, overall=79.65, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NDS d41:0
HexCer_NS d18:1_24:2,15.38645,0.26792336,16.22566,15.885645,15.706142,16.058104,16.086372,0.2911148,0.10311127,15.619966,15.135818,16.081554,-0.72436714,0.06063652,-0.33346748,-0.3244896,15.535144,0.808733,-0.061668396,15.14867,15.893557,0.6714878,0.03378296,15.410749,-0.24159813,-0.1049366,-0.27303314,-0.3883686,-0.5226269,0.68146133,-0.52516365,-0.44465828,-1.3287983,-1.1947155,-0.539032,-0.42248344,-1.0592632,14.573803,-0.6579857,-0.45015907,-0.49577522,-0.6131325,-0.46617317,0.28466415,-0.15151405,15.567531,-0.38188553,-0.03378296,HexCer_NS d18:1_24:2,"HexCer_NS d18:1_24:2 [ C48 H89 N O8, tgt=80.74, overall=80.74, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,HexCer_NS d18:1_24:2
LPC 20:2/0:0,0.16980553,0.31564903,0.24213791,0.31401062,-0.56108665,0.2921486,0.35663605,0.33884048,0.15083694,-0.12286186,14.460561,0.49466896,-0.67664146,0.1083622,-0.2857418,-0.27676392,-0.24114418,0.85645866,-0.013942719,0.04644966,0.33751106,0.7192135,0.08150864,0.24902153,-0.19387245,-0.057210922,-0.22530746,14.789485,-0.4749012,0.729187,-0.47743797,-0.3969326,-1.2810726,-1.1469898,-0.4913063,14.255737,-1.0115376,13.898105,-0.61026,-0.4024334,-0.44804955,-0.5654068,-0.4184475,0.33238983,15.745837,-0.10928345,-0.33415985,0.013942719,LPC 20:2/0:0,"LPC 20:2/0:0 [ C28 H54 N O7 P, tgt=92.57, overall=92.57, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 20:2/0:0
PE 18:0_18:2,0.27634048,0.422184,0.34867287,0.42054558,-0.4545517,0.39868355,0.463171,0.44537544,0.2573719,-0.016326904,-0.28655434,0.6012039,-0.5701065,18.349077,-0.17920685,18.769968,-0.13460922,0.9629936,0.09259224,0.15298462,0.44404602,0.82574844,0.1880436,0.3555565,-0.087337494,0.049324036,-0.11877251,-0.23410797,-0.36836624,0.83572197,-0.37090302,-0.29039764,-1.1745377,-1.0404549,-0.38477135,-0.2682228,-0.9050026,-1.0447407,-0.50372505,18.756378,-0.3415146,-0.45887184,-0.31191254,0.4389248,0.002746582,-0.002748489,-0.2276249,0.12047768,PE 18:0_18:2,"PE 18:0_18:2 [ C41 H78 N O8 P, tgt=94.01, overall=94.01, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PE 18:0_18:2
HexCer_NS d18:1_18:0,16.24624,15.849817,16.977476,16.593702,16.54264,16.54227,16.579426,17.067741,17.623785,16.760643,16.147692,17.072353,-1.2099915,15.581535,15.538958,14.944069,15.462585,0.32310867,15.982824,15.481722,-0.19583893,16.099758,16.163616,16.317297,-0.72722244,-0.5905609,-0.75865746,-0.8739929,-1.0082512,0.19583702,-1.010788,-0.9302826,-1.8144226,-1.6803398,-1.0246563,-0.90810776,15.217028,-1.6846256,-1.14361,-0.9357834,-0.98139954,-1.0987568,-0.9517975,-0.20096016,-0.63713837,-0.64263344,-0.86750984,-0.5194073,HexCer_NS d18:1_18:0,"HexCer_NS d18:1_18:0 [ C42 H81 N O8, tgt=94.77, overall=94.77, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,HexCer_NS d18:1_18:0
Cer_NS d18:1_18:0,0.2053833,0.3512268,0.27771568,0.3495884,-0.5255089,0.32772636,0.39221382,18.71707,0.18641472,18.691963,-0.35751152,0.53024673,-0.6410637,0.14393997,17.231714,-0.24118614,17.830425,0.89203644,0.021635056,0.082027435,0.37308884,0.75479126,0.11708641,0.2845993,-0.15829468,-0.021633148,-0.18972969,-0.30506516,-0.43932343,0.7647648,-0.4418602,-0.36135483,-1.2454948,-1.111412,-0.45572853,-0.33918,18.534227,-1.1156979,-0.57468224,-0.36685562,-0.41247177,-0.529829,-0.38286972,0.3679676,-0.0682106,-0.07370567,-0.29858208,0.049520493,Cer_NS d18:1_18:0,"Cer_NS d18:1_18:0 [ C36 H71 N O3, tgt=96.17, overall=96.17, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NS d18:1_18:0
PC 18:0_22:4,0.030721664,16.141087,17.073744,16.58981,16.393372,16.869255,17.212425,16.943697,16.821634,16.312752,16.340225,0.3555851,-0.8157253,-0.030721664,-0.42482567,-0.41584778,15.699486,0.7173748,16.19981,15.835861,0.1984272,0.5801296,16.545238,16.921263,-0.3329563,-0.19629478,-0.36439133,-0.4797268,-0.61398506,0.59010315,-0.61652184,-0.53601646,-1.4201565,-1.2860737,-0.63039017,-0.5138416,15.623703,-1.2903595,-0.7493439,-0.54151726,-0.5871334,16.216652,-0.55753136,0.19330597,-0.24287224,-0.24836731,-0.4732437,-0.12514114,PC 18:0_22:4,"PC 18:0_22:4 [ C48 H88 N O8 P, tgt=85.02, overall=85.02, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 18:0_22:4
Cer_NS d18:1_23:0,0.16980553,0.31564903,0.24213791,0.31401062,-0.56108665,0.2921486,0.35663605,0.33884048,0.15083694,-0.12286186,-0.3930893,0.49466896,-0.67664146,0.1083622,-0.2857418,-0.27676392,-0.24114418,0.85645866,-0.013942719,0.04644966,0.33751106,0.7192135,0.08150864,0.24902153,-0.19387245,-0.057210922,21.012491,-0.34064293,21.504116,21.546404,-0.47743797,21.728973,-1.2810726,-1.1469898,-0.4913063,-0.37475777,20.435333,-1.1512756,-0.61026,-0.4024334,-0.44804955,-0.5654068,19.534945,0.33238983,-0.103788376,-0.10928345,-0.33415985,0.013942719,Cer_NS d18:1_23:0,"Cer_NS d18:1_23:0 [ C41 H81 N O3, tgt=99.29, overall=99.29, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NS d18:1_23:0
PE 20:0_18:1,0.28587723,0.43172073,0.3582096,0.43008232,-0.44501495,0.4082203,0.47270775,0.4549122,0.26690865,-0.006790161,-0.2770176,0.61074066,-0.56056976,0.2244339,18.053385,-0.16069221,-0.12507248,0.97253036,0.10212898,0.16252136,0.45358276,0.8352852,0.19758034,0.36509323,-0.07780075,0.05886078,-0.10923576,-0.22457123,-0.3588295,0.8452587,-0.36136627,-0.2808609,-1.1650009,-1.0309181,-0.3752346,-0.25868607,-0.89546585,-1.0352039,-0.4941883,-0.2863617,-0.33197784,-0.4493351,-0.3023758,0.44846153,0.012283325,0.006788254,-0.21808815,0.13001442,PE 20:0_18:1,"PE 20:0_18:1 [ C43 H84 N O8 P, tgt=80.61, overall=80.61, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PE 20:0_18:1
Cer_NDS d36:1,18.651192,0.43172073,18.891947,19.067196,18.772457,0.4082203,0.47270775,0.4549122,19.447758,-0.006790161,-0.2770176,0.61074066,-0.56056976,0.2244339,-0.1696701,-0.16069221,-0.12507248,0.97253036,17.71249,0.16252136,0.45358276,18.456793,18.818647,18.510702,-0.07780075,0.05886078,-0.10923576,-0.22457123,-0.3588295,0.8452587,-0.36136627,-0.2808609,-1.1650009,-1.0309181,-0.3752346,-0.25868607,-0.89546585,-1.0352039,-0.4941883,-0.2863617,-0.33197784,-0.4493351,-0.3023758,0.44846153,0.012283325,0.006788254,-0.21808815,0.13001442,Cer_NDS d36:1,"Cer_NDS d36:1 [ C36 H71 N O3, tgt=97.51, overall=97.51, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NDS d36:1
PE 16:0_20:4,0.16980553,0.31564903,0.24213791,0.31401062,16.353765,0.2921486,0.35663605,0.33884048,0.15083694,-0.12286186,-0.3930893,0.49466896,-0.67664146,0.1083622,-0.2857418,-0.27676392,-0.24114418,0.85645866,-0.013942719,0.04644966,0.33751106,0.7192135,0.08150864,0.24902153,17.814173,18.347483,18.59945,-0.34064293,16.36274,0.729187,-0.47743797,-0.3969326,-1.2810726,-1.1469898,-0.4913063,-0.37475777,-1.0115376,-1.1512756,-0.61026,-0.4024334,-0.44804955,-0.5654068,-0.4184475,0.33238983,-0.103788376,-0.10928345,-0.33415985,0.013942719,PE 16:0_20:4,"PE 16:0_20:4 [ C41 H74 N O8 P, tgt=92.23, overall=92.23, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PE 16:0_20:4
